"yrbrn","prtvteit","prtclfit","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","likrisk","liklead","sothnds","eqwrkbg","eqpolbg","ppltrst","trstlgl","trstplc","trstplt","trstep","trstun","lrscale","euftf","atchctr","atcherp","ccrdprs","edlvfit","trstprl","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","ccnthum","dscrgrp","ctzcntr","brncntr","feethngr","pbldmna","volunfp","mbtru","emplrel","impcntr","hincfel","polintr","aesfdrk","gincdif","freehms","vteurmmb","lrnobed","domicil","loylead","wprtbym","actrolga"
2004,66,66,3,4,1,3,1,2,3,2,1,2,3,2,2,8,6,8,88,88,88,88,5,5,2,2,7,8,1,4,1,3,4,3,4,3,3,3,3,3,2,2,2,1,1,1,2,2,3,6,2,2,4,3,1,2,33,2,3,3,2,2
1983,1,1,1,3,1,2,1,2,1,3,3,3,4,6,6,6,8,9,5,5,4,6,4,10,6,7,8,6,2,2,2,2,1,1,3,2,1,2,2,1,3,3,2,1,1,1,2,2,3,1,3,2,2,2,2,2,2,2,3,3,3,3
1955,66,66,1,5,1,3,1,2,1,1,2,3,6,6,6,2,3,2,2,1,1,5,3,10,8,6,4,3,1,2,2,1,1,1,4,1,1,1,1,1,3,3,2,1,1,1,2,2,2,1,2,1,3,2,2,2,55,2,1,2,1,2
2007,66,66,1,4,1,3,4,1,5,1,3,2,3,3,6,4,1,3,0,3,3,3,8,7,4,8,4,0,1,4,2,1,2,2,3,4,4,1,1,5,4,4,2,1,1,1,2,2,3,6,1,1,3,4,1,1,1,4,4,5,4,2
1961,1,1,2,3,1,2,1,1,1,2,2,2,4,5,4,6,7,8,6,6,7,8,2,10,7,5,6,7,1,3,1,1,3,1,3,2,2,1,1,1,2,3,2,1,1,1,1,2,3,2,2,1,2,2,1,1,1,2,3,2,2,3
1967,77,66,4,4,3,4,3,4,88,3,8,7,5,5,8,2,0,2,0,0,5,88,5,6,0,0,7777,0,3,4,88,3,3,3,5,3,3,88,3,2,4,88,2,1,1,8,2,2,7,9,8,7,4,8,1,8,2,3,3,4,8,1
1968,2,2,3,88,3,3,3,3,3,3,4,3,4,6,4,5,5,5,5,5,4,0,5,9,6,8,17,5,3,3,2,2,3,3,3,3,3,2,3,2,3,3,2,1,1,1,2,2,1,1,3,1,2,2,2,2,1,2,3,2,2,3
1956,1,66,3,6,3,4,4,4,3,3,0,0,5,8,3,0,5,8,0,0,0,5,0,10,0,3,3,2,3,4,3,3,3,3,5,1,1,2,2,2,5,3,2,1,1,1,2,2,3,6,3,3,4,2,2,3,1,2,4,3,2,1
1976,3,66,2,4,1,3,1,1,2,1,3,3,6,5,5,4,7,8,1,5,5,88,5,10,7,5,4,5,1,3,1,1,2,1,4,1,1,1,1,1,2,3,2,1,1,1,2,2,3,1,2,2,4,2,1,2,1,3,3,3,1,2
1969,77,66,3,3,3,3,3,3,3,3,0,3,6,6,6,6,8,8,5,6,7,77,88,10,10,8,9,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,2,2,3,2,3,7,3,2,1,2,1,2,4,2,8,3
1950,88,66,4,2,2,2,2,2,2,2,0,0,6,6,6,1,88,88,0,0,88,88,0,8,88,6,8,10,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,1,2,2,3,6,4,1,3,3,1,3,88,2,3,3,2,1
1974,2,2,1,2,1,2,1,2,2,1,4,4,6,6,6,4,7,7,6,6,6,2,9,10,10,10,9,6,3,1,1,1,2,1,2,2,1,1,1,1,1,4,2,1,1,1,1,2,3,1,1,3,2,2,1,1,1,2,3,1,1,3
1997,77,66,1,5,1,3,1,2,1,1,1,1,6,6,6,4,2,6,2,2,1,6,4,8,3,8,12,3,2,3,1,1,3,3,4,2,3,2,1,2,3,4,2,1,1,1,2,2,3,1,2,1,2,2,2,2,1,3,4,4,3,3
