"yrbrn","prtvteit","prtclfit","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","likrisk","liklead","sothnds","eqwrkbg","eqpolbg","ppltrst","trstlgl","trstplc","trstplt","trstep","trstun","lrscale","euftf","atchctr","atcherp","ccrdprs","edlvfit","trstprl","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","ccnthum"
1962,3,66,3,5,1,4,2,3,2,2,1,0,5,6,6,4,6,8,2,4,1,5,3,10,7,5,4,2,2,3,1,1,4,2,6,1,3,1,1,1,3,3
1963,77,66,4,2,2,6,1,1,6,2,2,1,4,6,6,3,3,6,0,0,88,4,4,4,2,0,8,0,2,3,1,2,4,1,4,4,88,1,1,5,3,4
1989,66,3,2,3,3,3,3,3,4,3,4,4,5,5,5,3,6,6,1,6,6,3,9,7,7,8,12,2,4,2,2,2,2,4,4,3,3,2,3,4,3,4
1980,66,2,3,4,1,3,2,4,2,3,1,4,4,5,5,3,9,8,6,8,7,3,8,9,8,7,9,7,2,4,2,4,3,3,4,4,2,1,1,2,3,4
1980,4,4,3,4,2,2,1,3,3,2,0,0,3,6,3,5,2,6,0,0,2,5,5,5,0,8,9,3,2,5,4,3,3,3,3,2,2,2,3,3,3,5
1959,77,77,3,4,3,4,3,4,3,3,1,0,5,4,4,0,7,8,6,6,7,77,6,10,6,0,4,6,3,3,3,3,5,2,5,3,4,2,2,4,3,3
1967,5,66,2,5,1,2,1,2,2,2,5,4,5,2,6,2,8,10,0,6,9,7,4,9,6,6,9,8,1,2,1,2,2,2,3,1,2,2,2,2,2,4
1937,66,66,5,6,3,3,2,5,4,3,2,1,6,4,4,4,6,8,5,7,6,7,2,9,7,5,2,4,1,6,1,2,4,2,6,2,1,4,3,3,5,3
1952,66,66,2,5,1,2,1,3,3,1,0,2,6,6,6,7,3,8,0,4,7,2,7,7,4,8,2,1,1,4,2,1,2,2,4,1,3,3,1,1,3,4
1970,77,66,1,4,3,3,3,2,4,3,3,5,5,4,4,7,5,6,5,5,4,5,4,8,6,4,9,5,2,2,3,3,2,4,3,5,4,3,3,3,2,3
1955,4,4,3,4,3,3,3,3,4,3,3,3,5,5,5,5,7,9,6,5,6,6,6,10,5,6,6,6,3,3,3,3,3,2,5,3,4,3,3,3,3,3
1952,77,66,2,3,1,1,1,3,1,1,0,3,6,5,5,5,7,10,0,0,2,5,5,10,7,6,5,0,3,3,2,2,3,1,4,1,5,2,1,1,1,4
1944,77,66,3,3,1,2,2,2,2,3,2,0,6,6,6,10,0,8,0,0,0,0,0,10,10,9,4,3,1,2,1,2,2,1,3,3,2,2,2,2,2,3
1955,1,66,4,4,4,4,5,5,5,5,4,4,4,3,3,6,3,5,5,5,6,5,4,5,5,5,3,5,5,5,2,3,3,4,4,5,5,5,2,2,1,3
1985,5,5,3,3,3,3,3,3,3,2,2,3,4,5,5,4,5,8,6,6,6,6,4,10,8,3,17,8,4,4,3,3,3,2,4,3,3,2,2,2,3,2
1955,2,2,3,3,2,3,2,2,2,2,0,3,5,5,6,6,5,6,2,5,4,4,4,8,5,6,9,2,1,4,2,1,2,2,6,2,4,2,2,2,3,3
1984,66,66,1,4,2,2,2,2,4,2,0,3,4,6,6,4,6,5,0,3,6,77,7,10,8,8,8,0,2,3,2,2,2,2,4,2,2,2,1,4,3,5
