"yrbrn","prtvteit","prtclfit","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","likrisk","liklead","sothnds","eqwrkbg","eqpolbg","ppltrst","trstlgl","trstplc","trstplt","trstep","trstun","lrscale","euftf","atchctr","atcherp","ccrdprs","edlvfit","trstprl","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","ccnthum"
1979,66,66,1,3,2,4,2,3,3,2,0,0,3,0,1,3,7,7,0,0,0,6,2,5,2,0,13,2,3,4,2,2,4,1,4,2,2,2,2,2,4,4
1994,2,66,1,4,2,3,1,4,4,2,1,4,5,6,5,3,5,7,2,7,7,3,10,9,9,7,18,0,3,4,1,1,2,1,5,5,3,2,2,6,4,4
1973,88,66,2,3,2,1,1,2,2,2,3,3,4,5,5,5,5,6,1,3,3,6,1,7,6,6,4,2,1,2,1,2,1,1,2,1,1,2,2,2,2,4
1943,2,66,4,4,2,4,2,4,3,3,0,0,4,5,4,4,5,7,5,8,6,3,7,10,8,7,2,0,2,5,3,3,4,2,4,3,2,2,2,3,4,4
1952,66,66,4,5,3,3,3,3,3,3,0,0,6,5,2,0,5,6,0,0,0,77,0,10,0,1,1,0,3,5,3,3,6,2,6,3,6,2,2,5,6,4
1983,1,66,1,6,1,1,2,1,2,3,4,3,4,5,5,4,7,10,0,1,8,6,4,9,8,8,17,5,1,2,1,1,2,2,2,2,1,1,1,3,2,4
1952,2,66,2,4,1,4,1,1,2,2,0,2,6,6,3,3,8,10,6,6,6,3,8,9,6,7,9,7,1,3,3,1,1,1,5,2,2,2,1,1,4,4
1987,66,66,2,3,3,3,88,88,3,3,3,3,4,3,5,5,4,5,7,5,3,4,4,8,4,3,4,4,4,3,88,77,3,3,3,4,6,6,5,5,5,88
1950,66,66,2,3,2,3,1,3,3,3,4,3,4,5,3,2,5,7,1,4,4,5,5,7,4,5,4,2,3,3,2,2,2,2,4,2,2,2,2,2,3,4
1972,66,66,3,3,3,4,2,2,2,3,2,4,3,3,3,0,0,0,0,0,0,5,10,5,5,5,9,0,3,4,3,4,2,2,5,3,4,4,3,3,3,4
1959,66,66,2,4,1,2,1,4,2,2,0,0,4,6,6,4,7,7,3,5,6,77,1,7,7,2,7,6,2,3,2,3,2,1,6,2,1,2,2,6,6,3
2005,66,66,3,4,2,4,1,3,3,3,0,3,4,6,6,2,6,7,3,5,5,5,6,6,4,7,4,3,3,5,2,3,2,2,4,3,3,2,1,4,3,4
2003,9,66,3,2,1,4,2,4,2,3,2,2,3,3,3,2,3,6,1,1,2,3,1,5,5,6,9,2,3,3,2,3,3,1,4,4,3,3,3,3,3,3
1979,7,7,2,4,1,4,4,3,6,1,4,4,4,5,4,7,7,7,2,7,7,3,9,7,7,6,9,3,2,3,1,3,3,4,3,3,5,3,1,4,4,3
1998,77,1,1,3,3,2,88,2,4,3,1,4,4,6,6,88,4,6,0,3,4,8,5,8,6,5,12,4,2,3,1,3,1,3,3,88,3,2,2,88,1,3
1994,4,66,3,3,3,3,2,3,3,3,0,3,3,6,3,7,7,8,4,6,8,7,5,8,6,6,8,5,4,3,2,3,2,2,4,1,1,3,3,2,4,4
1946,88,66,4,3,1,1,2,4,1,2,0,2,5,6,6,0,3,7,2,6,6,5,9,10,6,3,4,2,1,5,1,1,4,1,5,1,1,1,1,1,5,4
1963,66,66,4,3,3,3,1,3,1,2,1,2,6,6,6,6,6,7,0,3,6,3,5,8,6,6,4,0,2,4,2,2,3,1,5,2,2,1,2,2,2,4
1978,5,5,3,5,88,4,3,3,5,2,0,2,4,5,5,5,3,8,4,5,8,7,0,10,7,5,4,3,2,4,3,2,3,3,2,2,2,2,2,2,3,3
1973,66,66,2,2,4,3,3,3,3,2,3,4,3,3,3,7,7,6,8,6,5,5,8,7,3,7,8,8,3,2,4,4,3,3,2,2,4,3,2,3,3,1
1956,2,2,3,5,2,6,3,2,2,3,1,1,6,4,6,0,10,10,5,0,5,0,8,10,5,0,4,7,2,3,3,3,88,2,4,2,2,2,1,2,2,88
1973,66,66,1,4,1,5,5,2,5,3,2,4,5,5,6,7,6,2,0,2,3,0,10,8,6,8,8,5,3,1,1,3,5,6,3,4,2,3,1,5,2,4
1978,66,66,2,1,2,2,2,3,5,1,2,4,5,6,5,3,7,8,0,0,0,88,0,2,3,7,4,0,2,1,2,2,1,2,4,2,1,2,2,2,2,4
1992,1,66,1,3,2,2,1,2,2,2,3,3,4,5,5,1,5,5,3,6,6,8,4,8,7,7,18,5,3,3,3,3,3,2,4,2,2,2,2,2,2,4
1981,3,3,4,4,2,4,2,2,2,2,2,2,4,6,6,3,6,6,5,7,6,2,7,10,8,7,9,2,1,4,3,3,2,2,4,3,3,3,3,3,3,4
2006,66,66,1,2,2,3,4,2,2,4,3,5,6,3,3,7,3,5,0,6,7,5,1,8,8,0,4,3,3,1,1,1,1,3,3,4,3,1,4,4,4,4
1972,66,66,1,1,1,1,1,1,1,1,6,3,4,6,6,2,7,7,5,5,6,3,10,10,5,3,17,5,6,1,1,1,1,1,1,2,1,2,2,3,1,4
1935,66,66,3,4,2,3,1,4,3,3,0,1,5,6,3,3,0,0,0,0,1,77,5,9,6,3,4,0,2,4,3,2,2,1,6,2,2,2,2,2,5,2
2000,77,66,2,3,1,2,1,3,3,2,2,2,5,6,6,7,5,7,3,88,5,4,6,8,5,7,9,3,3,4,2,1,2,1,4,2,4,2,1,4,3,4
1970,66,66,5,5,1,4,1,4,1,2,1,0,4,6,4,1,2,4,1,3,2,77,5,7,5,2,4,0,3,3,1,2,4,1,6,2,5,2,3,4,3,4
1948,66,66,2,3,1,2,1,3,2,2,1,2,6,6,5,5,5,8,3,0,0,88,7,10,1,7,1,0,2,3,1,1,2,1,4,1,2,2,2,1,4,4
1998,7,7,1,3,2,2,3,2,4,3,3,4,4,6,6,8,6,4,1,7,6,2,7,10,9,3,17,5,4,1,4,3,3,3,2,4,2,2,1,4,2,4
1998,1,1,2,3,3,3,3,4,3,3,4,4,6,5,6,7,7,6,6,6,6,10,8,8,7,7,18,6,3,3,3,3,3,2,3,4,1,1,1,1,2,4
1963,66,66,1,4,2,2,2,2,2,2,3,5,6,6,6,3,3,5,0,3,6,77,8,7,7,0,5,0,2,5,1,1,2,1,5,4,5,5,1,1,1,5
1972,77,66,4,4,3,3,1,3,3,3,3,3,4,6,4,7,7,9,3,6,88,77,2,8,6,4,2,2,2,2,1,3,2,2,3,2,1,1,1,1,2,3
2003,66,66,2,1,1,1,1,1,1,1,0,8,5,8,8,88,88,10,0,88,10,88,10,10,10,88,4,88,1,1,1,1,1,1,1,1,1,1,1,1,1,88
1954,66,66,1,4,1,4,1,4,2,2,3,0,5,6,6,2,7,7,5,6,7,5,2,8,6,3,6,6,2,2,1,2,2,2,6,2,2,2,2,2,2,3
1981,77,66,2,4,3,1,1,3,2,1,2,3,4,6,6,4,7,6,5,6,7,4,4,9,8,1,18,6,1,3,2,2,1,1,3,1,1,2,2,1,2,4
1957,1,1,1,5,2,2,2,2,1,3,3,3,4,6,5,4,5,7,2,6,5,7,5,7,7,3,11,3,3,3,2,2,2,1,5,1,1,1,1,2,3,3
1989,77,2,3,88,3,3,3,2,88,3,4,3,5,5,5,5,6,5,4,6,5,0,5,8,7,8,17,6,3,3,3,2,2,3,3,4,3,2,3,3,2,3
1956,77,66,3,5,1,4,1,2,1,1,0,0,5,6,6,2,4,4,1,4,4,3,5,8,7,6,7,4,3,4,2,1,3,1,6,2,5,1,2,1,3,4
2002,1,66,5,3,1,2,2,2,2,3,4,3,4,6,6,7,7,7,8,7,7,7,9,10,8,7,8,7,2,1,1,2,2,1,5,3,2,2,2,2,2,3
1970,66,66,4,5,2,4,2,4,3,4,0,0,6,6,5,3,7,8,6,6,7,77,2,10,7,7,2,6,2,6,3,1,4,2,6,2,2,2,2,2,6,5
2006,66,66,2,2,3,3,4,2,4,2,4,4,4,4,5,6,7,7,0,88,88,88,6,7,6,5,4,88,4,3,2,3,3,3,3,3,3,1,3,3,3,3
1970,66,66,2,2,2,2,2,2,2,2,2,2,4,3,3,5,4,5,3,88,4,77,5,5,5,5,10,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1950,66,66,3,3,2,2,2,3,2,2,3,3,4,4,4,4,7,7,2,6,8,4,1,8,4,8,1,4,2,4,3,3,3,2,4,2,2,2,2,2,4,4
1950,2,11,4,6,1,3,2,5,2,2,0,1,3,5,5,6,7,8,2,2,3,1,3,9,5,5,4,4,1,6,2,2,3,2,6,1,2,2,77,2,6,3
1994,77,66,3,3,2,2,1,3,3,3,4,4,4,6,6,7,6,7,6,6,6,6,7,8,3,7,9,6,3,2,2,3,3,2,3,3,3,2,3,3,3,3
1990,77,66,2,2,2,2,1,3,2,2,5,5,4,4,3,3,3,7,5,5,3,8,3,7,3,3,9,5,2,2,1,2,1,1,1,2,2,1,2,2,2,3
1973,77,66,3,5,1,3,2,2,1,1,2,2,3,6,5,5,6,8,5,7,5,77,5,9,8,8,11,6,1,3,1,2,2,1,5,1,2,2,2,3,3,3
1954,66,66,4,6,3,4,4,6,2,4,0,0,4,6,6,3,5,6,2,2,1,88,2,7,4,7,2,3,1,6,5,4,4,2,6,3,5,4,1,2,5,3
1980,1,1,3,5,3,5,1,2,2,2,2,1,6,6,5,5,2,1,0,0,0,10,5,5,3,5,9,1,2,2,2,2,3,1,4,2,2,2,2,2,4,3
1992,4,4,1,3,2,2,4,2,4,3,4,4,4,6,6,6,2,8,4,2,6,8,2,9,4,6,9,8,4,3,3,3,3,2,3,4,3,2,2,3,3,2
1973,66,66,3,4,2,4,2,3,2,2,5,3,6,6,6,8,7,8,8,9,8,8,5,9,7,8,8,6,1,2,1,1,2,1,4,1,3,1,2,1,2,3
2003,88,66,2,2,1,2,2,3,2,2,2,3,4,6,8,6,8,10,6,7,9,5,9,5,6,6,8,7,2,3,1,3,1,3,4,2,1,2,3,3,3,4
1968,99,1,1,3,1,2,1,2,1,1,5,4,6,6,6,2,7,10,5,10,10,5,2,10,6,5,9,10,2,3,2,2,2,1,4,3,2,1,3,2,3,4
1986,99,66,1,3,1,2,2,1,4,1,5,2,5,2,3,8,1,3,4,0,0,3,4,4,1,7,17,1,1,1,1,1,2,2,1,4,3,2,1,1,2,3
1957,66,66,5,5,4,6,6,6,3,4,5,4,4,4,4,5,7,8,8,7,7,7,7,8,7,7,6,7,5,5,6,6,5,5,5,6,6,5,4,4,3,4
1982,66,66,1,3,3,4,2,2,4,3,0,0,5,4,5,7,6,8,4,6,6,77,7,8,7,7,9,6,3,3,2,3,3,1,5,3,1,1,2,2,3,3
1980,3,3,1,4,2,1,2,2,2,2,0,2,5,4,6,5,6,7,1,4,4,5,5,9,5,6,9,5,2,4,2,2,1,1,5,2,3,2,2,1,2,3
1972,1,1,5,6,1,88,1,3,2,2,1,2,3,6,6,4,8,8,6,7,7,7,2,9,8,2,17,7,2,2,2,2,2,1,6,2,1,2,2,3,6,4
1996,66,3,2,2,3,2,1,3,2,2,3,3,5,6,6,5,8,8,8,8,9,4,8,6,4,7,18,8,3,4,1,2,3,3,2,1,3,1,1,2,3,4
1966,2,66,2,6,2,2,1,2,5,4,2,2,4,5,4,8,10,9,2,3,3,4,6,10,2,10,4,5,2,2,1,3,2,2,4,4,4,2,1,4,2,4
1988,66,66,1,4,1,1,1,2,2,3,4,5,4,4,3,3,5,6,3,5,4,77,4,8,5,4,9,2,2,2,1,1,2,1,1,2,1,1,1,4,2,4
1979,77,66,2,3,2,2,2,3,2,3,3,4,3,6,2,4,6,8,3,5,6,5,0,10,7,8,12,4,4,2,1,4,1,1,4,3,3,3,2,4,3,4
1960,77,66,4,3,1,3,1,4,3,2,2,2,5,6,5,5,5,5,0,0,5,77,5,10,9,6,4,0,2,3,1,2,2,2,4,1,2,2,2,2,3,4
1958,3,3,1,2,4,3,2,3,2,3,3,4,4,3,0,8,1,2,0,2,0,5,9,4,3,0,8,0,4,4,5,3,3,3,4,4,3,2,2,3,3,1
1978,4,66,2,2,2,2,2,1,2,3,0,3,3,6,6,0,2,4,1,3,2,9,2,10,6,2,12,2,2,2,2,2,1,1,6,2,2,2,2,2,2,3
1962,77,66,3,3,3,88,3,88,4,3,0,1,3,5,5,4,7,7,4,6,7,77,3,5,6,7,4,7,2,77,2,3,77,2,6,2,1,2,2,3,6,4
1984,66,66,1,1,2,2,1,1,2,2,3,4,3,6,4,3,5,5,5,5,5,77,5,8,2,6,8,7,3,1,2,4,2,2,2,4,3,3,3,5,2,2
2005,66,66,4,1,1,1,1,1,3,3,4,4,3,8,8,6,2,2,0,0,88,88,88,8,6,5,4,0,2,1,1,2,1,1,2,2,1,1,2,3,1,3
1979,77,77,1,3,1,4,1,2,4,2,3,3,3,6,8,3,6,6,6,5,5,77,5,7,1,2,4,6,5,4,2,6,4,1,5,2,3,2,2,1,2,2
1968,1,66,1,2,1,2,2,2,2,2,0,3,6,6,2,5,6,8,0,6,5,5,9,10,10,10,9,6,2,2,3,2,3,1,3,3,2,2,1,2,2,5
1960,66,66,2,2,3,2,2,1,1,1,3,3,5,8,8,5,3,2,2,1,1,77,3,4,4,4,4,3,2,2,3,3,3,3,4,4,3,2,1,1,1,3
1972,3,3,2,4,2,3,2,2,4,2,0,4,4,4,4,6,4,6,4,5,5,4,4,6,4,7,9,4,2,3,3,2,3,2,4,4,2,2,2,3,4,4
1972,2,66,1,6,1,1,2,2,2,2,0,0,3,6,6,6,7,7,3,7,8,4,8,10,8,8,17,7,1,2,2,2,2,2,6,3,3,2,2,2,2,4
1973,66,66,3,4,2,2,2,3,2,2,4,3,5,5,5,3,6,6,4,6,7,5,7,6,6,7,4,4,2,3,3,2,2,2,3,2,2,2,2,2,3,4
1989,77,66,2,4,1,4,1,1,2,1,1,4,4,6,6,3,4,5,0,5,5,2,6,8,7,7,9,4,3,3,1,1,1,1,5,2,3,1,3,1,1,3
1960,66,66,1,2,1,2,1,1,2,2,4,3,3,5,5,8,9,9,6,6,6,3,5,5,4,5,4,9,3,3,3,3,2,1,3,3,1,2,2,1,3,3
1992,66,66,3,5,1,3,3,3,1,2,1,3,4,6,5,3,6,7,3,6,6,5,5,9,8,8,8,4,2,4,1,3,2,2,6,1,3,2,2,3,3,3
2000,66,66,3,2,1,4,1,4,6,1,3,0,5,5,4,0,9,9,1,5,8,88,10,5,3,0,6,0,1,2,1,1,1,1,5,5,1,2,1,3,2,1
1969,6,66,3,5,1,88,1,1,2,88,0,6,3,6,6,0,6,7,6,6,6,5,0,7,6,6,7,6,1,3,1,1,1,1,6,1,4,2,3,2,2,4
1962,1,1,2,4,1,4,3,4,1,2,1,3,5,6,6,6,5,8,4,3,2,5,6,9,7,7,9,5,3,3,3,2,3,2,5,2,4,3,1,3,4,3
1975,1,1,2,6,2,2,2,2,5,2,2,6,6,6,6,5,4,8,1,0,0,8,0,5,2,10,4,0,2,2,1,1,2,1,4,4,6,1,1,3,1,3
2004,3,66,2,5,1,3,3,2,5,88,5,4,4,6,3,5,5,7,4,5,5,3,7,7,7,6,9,5,1,5,3,3,1,1,4,2,3,3,2,6,3,4
1947,66,66,3,3,2,3,1,3,5,2,0,3,5,5,5,4,10,8,0,1,5,8,2,9,2,8,2,0,2,3,1,2,3,2,6,2,1,2,1,2,4,4
1973,5,66,1,1,1,1,1,1,1,3,6,6,3,5,4,9,6,9,4,5,5,7,5,8,6,7,9,6,3,1,3,3,1,1,1,1,3,1,3,3,1,4
1961,5,66,3,4,3,4,3,3,2,3,2,3,3,3,1,5,2,4,0,2,3,5,6,7,6,7,9,2,4,2,2,3,4,3,5,2,3,4,2,3,5,4
1953,66,66,3,3,4,3,2,2,3,2,3,3,3,5,4,7,1,2,1,1,2,4,8,7,8,2,8,2,1,1,2,2,1,1,2,3,2,1,2,2,1,5
1986,3,3,3,2,1,2,2,3,2,3,8,2,4,6,5,8,5,7,1,5,6,2,6,8,6,4,8,3,4,4,2,2,2,3,5,2,1,2,2,88,3,3
1966,66,66,1,2,3,2,2,3,3,2,4,4,5,5,5,8,9,7,1,2,2,2,7,8,7,5,9,3,2,3,3,3,2,3,3,2,3,3,3,2,3,3
1993,2,2,3,2,3,2,3,4,2,2,3,2,3,4,4,3,1,5,1,4,5,3,88,9,5,5,6,3,3,3,1,3,3,3,4,3,3,2,3,4,4,5
2001,77,77,2,3,2,1,1,2,2,2,2,3,4,4,4,3,8,8,7,7,8,0,6,10,7,7,12,7,3,4,3,3,2,1,4,3,2,2,2,2,3,4
1987,66,66,3,2,4,1,1,2,4,3,5,3,4,5,4,6,8,6,3,6,8,6,2,3,4,4,8,3,4,1,3,2,2,1,4,3,2,2,3,3,3,4
1965,66,66,4,4,3,3,2,3,2,2,2,2,5,4,4,4,2,6,3,4,4,88,8,6,6,0,4,5,2,4,4,3,3,3,4,3,3,2,2,2,4,3
1949,66,66,4,5,2,3,2,5,3,88,2,1,4,8,8,0,0,5,0,0,0,77,88,7,0,7,2,0,2,5,3,3,88,88,5,3,3,3,3,2,4,4
1967,3,3,5,5,2,2,2,5,5,3,3,1,3,6,8,4,6,6,0,1,1,6,88,2,2,88,9,1,1,5,1,1,1,1,5,1,2,1,3,3,4,4
1958,66,66,66,66,66,66,66,66,66,66,0,0,0,0,6,5,0,0,0,6,0,88,0,5,7,5,2,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3
1973,2,2,3,6,3,4,2,2,3,3,3,3,4,5,4,4,10,10,6,6,8,4,9,10,10,10,9,8,1,2,1,1,1,1,4,4,4,2,1,4,2,3
1950,1,1,3,5,1,3,1,3,1,2,0,0,6,6,6,4,3,5,4,5,6,8,5,10,7,8,3,6,3,4,3,2,2,1,6,2,2,2,2,1,4,3
1971,66,66,4,3,2,2,2,5,2,1,4,3,3,6,6,5,7,6,3,6,6,77,2,8,8,2,17,6,3,3,2,2,3,3,2,2,1,3,1,6,6,5
1977,6,66,3,6,2,1,2,2,4,2,0,4,6,4,4,9,7,8,6,7,0,5,0,10,8,10,8,7,1,1,1,2,2,2,6,1,2,2,1,1,1,4
1983,66,66,4,6,2,2,2,5,2,2,3,3,3,3,3,6,5,7,4,88,88,7,8,1,1,6,4,5,3,5,4,3,3,1,5,1,1,2,2,1,5,3
1962,77,66,3,4,1,2,1,3,2,2,3,2,5,6,6,6,1,7,0,3,3,5,3,10,2,8,8,1,1,2,1,3,2,1,4,3,2,1,1,1,1,4
1971,66,66,2,5,1,4,1,3,1,3,0,1,5,6,6,4,6,6,1,1,1,88,4,7,4,6,4,1,1,4,1,2,2,1,6,1,1,2,3,2,4,3
1945,1,66,2,4,2,2,3,2,3,1,4,3,5,6,6,8,6,6,6,6,7,9,3,10,10,8,4,7,4,4,4,4,4,2,3,2,4,4,3,4,2,2
1982,66,66,3,3,2,1,1,3,2,88,3,2,4,6,5,5,6,6,3,6,5,88,8,9,6,4,9,4,1,4,4,2,3,2,4,2,2,3,3,3,4,2
1948,3,3,4,6,3,3,4,2,3,2,2,2,6,4,3,5,6,8,4,6,6,5,2,9,7,5,2,6,1,4,3,2,3,3,5,3,1,2,3,3,4,5
1969,2,66,4,3,1,3,1,4,1,4,0,0,6,6,6,7,6,8,4,6,6,4,0,9,5,7,2,2,3,3,2,2,3,1,6,1,1,2,2,5,3,3
1988,2,2,2,5,1,1,2,3,1,2,3,5,5,5,5,4,7,10,7,6,6,3,9,10,8,9,12,6,2,2,1,2,1,1,4,1,1,1,2,2,1,3
1984,77,66,1,4,1,2,1,2,3,2,0,3,5,6,4,4,7,8,3,5,6,77,5,10,7,8,9,3,2,3,2,2,1,1,5,2,2,1,1,3,3,5
1951,4,4,4,4,3,3,3,4,2,2,1,2,4,4,4,3,4,7,6,3,5,8,2,10,5,4,4,7,2,4,2,2,3,2,4,2,2,2,2,3,4,2
1952,4,66,2,3,2,4,2,2,2,2,0,0,6,6,6,0,3,5,2,1,1,5,2,7,0,66,8,3,2,4,2,2,4,2,5,2,2,2,1,1,4,55
1963,66,66,2,6,2,2,2,2,2,2,0,3,6,6,6,0,5,8,0,0,3,5,5,10,10,10,17,1,1,2,2,2,2,2,6,2,4,1,2,3,2,4
1990,66,66,1,1,3,1,3,2,5,5,5,5,3,3,3,8,6,7,0,0,0,88,2,2,1,0,18,0,4,2,1,3,2,5,2,4,2,2,2,3,1,3
1960,66,66,3,3,1,3,1,3,2,1,2,2,5,6,6,3,5,5,0,5,5,5,3,8,9,5,4,3,1,2,1,1,2,1,4,2,1,1,2,1,3,3
1977,6,66,1,2,2,2,1,1,3,3,1,5,5,6,6,2,6,6,1,6,7,6,5,8,6,1,9,4,5,3,1,3,1,1,4,3,1,1,1,2,1,4
1970,66,66,1,6,1,2,2,2,2,1,2,3,6,6,6,8,8,9,6,8,8,2,10,8,7,10,17,5,4,3,3,3,3,2,4,4,3,2,1,4,3,4
2005,66,66,3,4,2,2,1,2,2,1,3,2,4,6,5,4,5,7,6,8,8,7,8,5,7,5,4,5,2,2,2,2,2,2,2,2,2,2,2,4,3,4
1953,77,66,4,4,2,3,2,4,3,4,0,0,4,4,8,0,5,5,5,5,5,77,88,6,6,6,8,5,3,5,3,2,3,3,6,2,2,2,3,2,5,5
1937,66,66,4,4,2,4,2,4,1,2,0,0,5,6,6,1,9,6,5,3,7,3,2,8,5,6,4,3,2,5,1,1,4,2,5,2,1,2,1,1,5,4
1990,3,66,2,3,2,2,1,3,2,1,1,2,5,5,6,3,4,5,1,3,3,4,4,7,6,5,9,3,2,3,1,2,2,1,4,2,1,1,1,1,3,4
1971,66,66,1,3,1,2,2,2,2,1,0,0,5,6,6,4,5,5,0,88,88,77,3,8,5,3,4,0,2,4,2,1,2,1,5,2,3,1,1,3,4,4
2003,1,1,2,3,2,3,2,2,3,2,3,3,4,6,3,5,9,8,5,7,9,9,7,9,9,8,9,5,3,2,2,2,2,2,4,3,2,2,1,2,1,4
1993,1,1,3,3,3,3,3,3,3,3,4,4,6,6,3,6,6,8,5,6,6,8,0,10,10,4,9,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1975,3,66,3,4,1,3,1,3,2,2,3,3,3,6,6,7,8,8,8,8,8,7,7,8,2,6,9,7,3,3,3,2,2,1,4,2,2,2,2,2,3,3
1936,77,5,3,4,3,88,1,3,3,3,0,8,6,6,6,10,6,6,0,10,0,5,88,10,6,0,2,0,2,4,3,3,3,2,5,2,2,2,2,2,3,4
1987,2,2,1,4,1,1,2,1,3,2,3,2,5,6,6,7,7,8,3,4,3,3,7,10,10,10,4,5,3,3,1,2,2,3,4,1,2,1,1,4,2,4
1955,66,66,4,4,3,4,2,3,3,2,1,2,4,6,6,3,4,7,4,4,5,88,4,10,5,4,8,6,2,4,3,3,3,2,4,3,3,3,2,4,5,3
2002,66,66,2,1,2,1,1,2,1,2,4,4,4,3,3,4,6,5,6,3,5,5,4,8,4,5,9,7,1,1,2,2,1,2,2,1,2,2,1,2,2,3
1959,4,4,4,4,3,4,2,4,3,3,2,2,4,5,5,4,0,7,5,3,8,8,2,10,3,4,4,8,3,4,2,2,3,3,4,3,3,1,2,2,4,2
1984,66,66,3,3,3,3,3,3,3,3,3,2,4,4,3,6,6,6,5,5,6,5,6,2,2,5,4,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1940,66,66,4,4,3,4,2,3,2,4,2,2,3,3,3,0,6,8,0,0,0,77,1,8,0,0,11,2,2,4,2,3,4,3,4,2,2,3,2,2,4,1
2007,66,66,1,4,1,3,2,1,4,1,2,5,4,4,5,7,6,6,6,6,88,3,7,6,6,7,4,6,4,2,2,2,3,5,3,4,5,3,1,3,2,4
2007,66,4,2,3,4,2,2,3,4,3,4,4,2,6,6,7,6,7,7,6,6,6,3,9,9,7,4,7,3,3,4,3,2,3,4,2,2,2,3,2,2,4
1974,7,7,1,1,1,1,2,2,2,2,1,1,5,6,6,2,7,7,5,6,6,4,7,10,6,3,8,6,3,4,4,4,2,1,4,1,1,1,1,3,3,3
1987,66,66,1,1,1,1,1,1,4,4,5,6,2,6,4,6,5,7,2,5,5,5,5,8,7,4,16,3,2,1,1,2,1,1,1,3,1,2,1,5,1,4
1965,77,66,2,4,1,2,2,3,2,4,2,2,2,4,3,0,3,4,3,5,3,8,0,8,5,7,5,3,4,3,1,4,3,1,4,2,1,3,2,3,3,3
1971,5,5,2,3,1,2,1,1,1,1,0,0,5,6,6,8,8,8,0,7,7,7,0,9,7,7,9,0,1,1,1,1,1,1,4,1,1,2,1,1,1,4
1975,77,77,2,88,2,2,3,2,2,2,4,4,4,6,5,7,5,7,7,0,6,77,1,9,1,7,9,7,2,4,2,2,2,2,3,2,2,3,1,2,2,4
1996,1,66,1,2,2,2,2,3,2,3,6,2,6,6,6,5,5,6,3,3,4,5,4,4,4,5,4,4,2,2,2,2,2,2,2,2,5,4,3,2,2,3
1951,66,66,4,3,4,2,5,3,3,5,0,3,4,6,3,2,88,7,3,88,88,10,6,10,6,0,4,7,5,1,1,4,3,3,6,3,1,2,3,3,1,3
1989,66,66,1,2,1,2,4,2,2,3,4,5,5,5,3,3,3,6,1,6,5,5,9,8,6,8,6,3,4,3,1,2,2,1,1,3,4,2,2,2,2,4
1954,1,4,3,6,2,4,1,3,1,1,0,0,6,3,6,7,1,9,2,0,3,7,4,10,7,10,6,0,2,4,2,1,2,1,5,1,2,2,1,1,2,3
1997,6,6,2,4,1,3,3,2,1,2,4,4,5,6,6,7,8,8,7,8,6,3,10,9,7,8,12,7,2,3,1,1,1,3,2,2,3,1,2,4,2,4
1940,66,66,2,3,2,2,2,2,3,2,0,4,5,5,6,3,2,2,3,3,6,2,3,8,3,6,2,2,1,3,1,2,2,1,6,1,1,1,2,2,2,4
1940,66,66,3,5,1,2,2,2,3,3,0,1,5,6,6,3,6,8,0,4,4,88,5,8,4,0,2,0,3,2,2,2,2,2,3,3,3,3,2,2,3,1
1946,3,3,4,5,3,4,2,3,2,3,0,0,4,6,6,2,6,7,2,5,5,4,3,10,6,7,4,2,3,5,2,3,3,1,4,3,4,3,2,1,3,4
1940,2,2,2,5,1,2,2,2,1,2,0,2,4,6,6,3,6,6,0,6,5,3,7,9,5,7,4,4,2,3,3,2,2,2,4,2,4,2,2,3,2,4
1980,2,2,3,4,1,5,2,4,2,3,2,2,5,4,4,7,8,9,6,4,4,3,5,8,4,6,5,6,1,5,3,2,4,2,5,2,3,3,2,2,4,3
1978,5,5,1,5,1,2,1,2,1,1,2,4,6,6,6,4,7,10,7,6,5,6,7,10,7,10,17,7,1,1,1,2,1,1,3,1,1,1,1,1,2,4
1982,5,5,1,5,1,3,1,1,1,1,0,5,6,5,5,5,7,9,3,6,1,10,1,10,8,5,4,6,4,5,3,1,3,1,5,2,1,1,1,3,3,3
1948,4,66,4,5,1,3,1,4,2,3,0,0,4,6,3,8,5,6,3,4,7,8,5,10,0,2,2,3,2,4,2,3,3,2,5,2,2,3,4,2,4,4
1943,77,66,2,3,2,3,2,3,4,4,4,4,3,3,3,7,9,9,1,1,1,6,5,2,2,3,2,8,3,4,3,3,3,4,4,3,4,2,3,3,4,4
1968,77,66,2,4,1,3,2,2,3,2,3,3,5,6,6,8,7,8,2,7,7,5,8,0,8,10,17,4,2,4,2,2,2,2,5,2,4,1,1,3,4,3
1973,1,66,2,4,2,2,2,2,2,3,5,3,4,4,5,6,6,8,4,6,6,7,3,9,6,6,9,6,2,3,2,2,3,2,2,2,2,2,3,2,2,4
2001,5,66,3,3,2,3,3,2,2,2,1,1,3,2,1,2,2,2,2,1,1,5,4,5,2,4,6,1,2,3,2,1,6,1,2,4,2,3,2,2,2,2
1970,1,1,1,1,2,4,2,2,3,3,4,4,4,5,5,3,5,7,3,2,2,8,3,7,2,0,12,5,3,3,2,2,2,3,4,3,3,3,2,3,3,3
